[0x000038ec] | Fairlight            | INFO  | 2023-05-17 09:46:11,011 | 00.00.00.243(001): WASAPI: Scanning Digital Audio (S/PDIF) (High Definition Audio Device) for formats
[0x000038ec] | Fairlight            | INFO  | 2023-05-17 09:46:11,212 | 00.00.00.286(000): WASAPI: Device: Digital Audio (S/PDIF) (High Definition Audio Device). Scan time 42. Formats = 1 15 formats scanned
[0x000038ec] | Fairlight            | INFO  | 2023-05-17 09:46:11,212 | 00.00.00.287(001): WASAPI: Scanning Microphone (Steam Streaming Microphone) for formats
[0x000038ec] | Fairlight            | INFO  | 2023-05-17 09:46:11,212 | 00.00.00.294(000): WASAPI: Device: Microphone (Steam Streaming Microphone). Scan time 7. Formats = 0 16 formats scanned
[0x000038ec] | Fairlight            | INFO  | 2023-05-17 09:46:11,212 | 00.00.00.390(002): WASAPI: switching to AUTO because exclusive mode not allowed
[0x00004f94] | DbCommon2            | ERROR | 2023-05-17 09:46:11,307 | Cannot connect to soundfx192.168.100.31 database: could not connect to server: Connection refused (0x0000274D/10061)
	Is the server running on host "192.168.100.31" and accepting
	TCP/IP connections on port 5432?
QPSQL: Unable to connect
[0x00004f94] | DbCommon2            | INFO  | 2023-05-17 09:46:11,339 | postgres project library homepc at 127.0.0.1 version 9.5.22
[0x00004f94] | DbCommon2            | INFO  | 2023-05-17 09:46:11,347 | Project library [homepc127.0.0.1] current version <18.1.0.004> updated on <2022-11-22T16:16:24.518>, remark: <patched with 18.1.0.004 database upgrade>
[0x00004f94] | DbCommon2            | INFO  | 2023-05-17 09:46:11,347 | Connect to postgres project library homepc127.0.0.1
[0x00004f94] | DbCommon2            | INFO  | 2023-05-17 09:46:11,396 | postgres project library barney at 192.168.100.30 version 9.5.25
[0x00004f94] | DbCommon2            | INFO  | 2023-05-17 09:46:11,422 | Project library [barney192.168.100.30] current version <18.1.0.004> updated on <2022-11-17T08:47:18.322>, remark: <patched with 18.1.0.004 database upgrade>
[0x00004f94] | DbCommon2            | INFO  | 2023-05-17 09:46:11,422 | Connect to postgres project library barney192.168.100.30
[0x00004f94] | DbCommon2            | INFO  | 2023-05-17 09:46:11,475 | postgres project library shtv_barney at 192.168.100.30 version 9.5.25
[0x00004f94] | DbCommon2            | INFO  | 2023-05-17 09:46:11,501 | Project library [shtv_barney192.168.100.30] current version <18.1.0.004> updated on <2022-11-15T13:16:50.006>, remark: <patched with 18.1.0.004 database upgrade>
[0x00004f94] | DbCommon2            | INFO  | 2023-05-17 09:46:11,501 | Connect to postgres project library shtv_barney192.168.100.30
[0x00005850] | Fusion               | INFO  | 2023-05-17 09:46:11,704 | 260 templates scanned in 0.12 secs
[0x00004fe8] | Fairlight            | INFO  | 2023-05-17 09:46:12,310 | 00.00.01.565(000): Running Fairlight (939d5c56aa8d66c1f392ff963f9b9c349ef4d9fb)
[0x00004fe8] | FairlightLoader      | INFO  | 2023-05-17 09:46:12,310 | Fairlight lib initialized in 1598 ms.
[0x00006a7c] | UI.GLContext         | INFO  | 2023-05-17 09:46:12,405 | Creating shared OpenGL context for this thread (2 total).
[0x000038ec] | Fairlight            | INFO  | 2023-05-17 09:46:12,417 | 00.00.01.501(002): WASAPI: switching to AUTO because exclusive mode not allowed
[0x00006a7c] | UI.GLIO              | INFO  | 2023-05-17 09:46:12,454 | Initialized MainPlayer OpenGL I/O on CUDA device 'NVIDIA GeForce RTX 2060 SUPER'
